,Prague_1,Brno_1,Prague_2,Prague_3,Munich_1,Frankfurt_1,Budapest_1,reg
0,0.04984977909912354,0.058241817552835105,0.05236355133986263,0.05210213297022463,0.22055337678902123,0.09334883720388683,0.039531609127651426,"{'svr', 'decision_tree', 'gradient_boosting', 'sgd', 'xgb', 'ransac'}"
1,0.04725908878571726,0.06047396878677223,0.053467069627984934,0.05103473126503161,0.16399876668791458,0.07277090646357265,0.038751806757966675,"{'lasso', 'knn', 'random_forest'}"
2,0.047624428809937336,0.054732604065513016,0.054998790015286424,0.05107947579494217,0.1757224759462639,0.08140797263120048,0.03815235192588483,"{'theil_sen', 'lasso', 'knn', 'decision_tree', 'poisson', 'random_forest', 'ransac'}"
3,0.04590682547521451,0.05542417588270917,0.053962982485359245,0.050394056310097704,0.1568503904255743,0.08862433802388506,0.04045150673566051,"{'theil_sen', 'svr', 'gradient_boosting', 'sgd', 'random_forest'}"
4,0.04530513681878427,0.05477667508808761,0.05416050749453309,0.05030899474549454,0.16258551715041433,0.08554557369861968,0.038150041261333124,"{'gradient_boosting', 'svr', 'lasso', 'ransac'}"
5,0.049304910339842474,0.05216288266347789,0.061199942486035906,0.054023861819107,0.181421007024422,0.09555161792229691,0.04127734425587008,"{'sgd', 'lasso', 'ridge'}"
6,0.04825946535845905,0.05168991950998,0.05648172677242734,0.05105159411245408,0.14601854004188816,0.08727260067828932,0.04088297595922791,"{'theil_sen', 'knn', 'decision_tree', 'gradient_boosting', 'sgd', 'ransac'}"
7,0.04838060725089138,0.06211953107500109,0.07280007663310104,0.05385281437500998,0.1849165615167862,0.08131229602582332,0.04892312062141439,"{'lasso', 'knn', 'decision_tree', 'sgd', 'xgb', 'elastic_net', 'ransac'}"
8,0.04909337697653475,0.06439394079781398,0.05662921505727647,0.05499137090616102,0.1890055826122507,0.08643415299895488,0.04396054058460669,"{'svr', 'elastic_net', 'random_forest'}"
9,0.046750799508644,0.053316525029535614,0.0505735226587241,0.049100587387987935,0.14702250385200133,0.09133930614801382,0.03664079996423944,"{'theil_sen', 'lasso', 'ridge', 'poisson', 'xgb'}"
10,0.04593979512616845,0.05446882040397917,0.05719079483757443,0.052698999171402826,0.16986211944785956,0.07350587396668866,0.041380641752014446,"{'theil_sen', 'svr', 'knn', 'gradient_boosting', 'ridge', 'poisson', 'random_forest', 'ransac'}"
11,0.04705767460846059,0.057460108080962725,0.05314389218920346,0.05147508027369659,0.15987054301080428,0.07503489056652143,0.03735321606426842,"{'decision_tree', 'gradient_boosting', 'ridge', 'sgd', 'poisson', 'random_forest', 'ransac'}"
12,0.046061049885412576,0.055118315753317604,0.054844180438589185,0.050179162862079976,0.16536923257917344,0.06721017687342616,0.043797542995602,"{'theil_sen', 'svr', 'lasso', 'knn', 'decision_tree', 'gradient_boosting', 'ridge', 'poisson', 'xgb', 'elastic_net'}"
13,0.0464421635932803,0.05785513702830079,0.06564870079563553,0.04967452748365307,0.2824659863414923,0.08199923648454929,0.039280381137068124,"{'theil_sen', 'svr', 'lasso', 'knn', 'decision_tree', 'gradient_boosting', 'sgd', 'poisson', 'random_forest'}"
14,0.04682131788871156,0.05303358223119035,0.052638801436729256,0.049439314680972006,0.13714083483106004,0.08005140317588161,0.04209848906608462,"{'theil_sen', 'lasso', 'knn', 'gradient_boosting', 'ridge', 'xgb', 'ransac'}"
15,0.046447549269045076,0.06208016889881701,0.05345974844455993,0.052767424122413184,0.19528897689672492,0.08746543755512672,0.03967789286000921,"{'knn', 'gradient_boosting', 'ridge', 'poisson', 'random_forest', 'xgb', 'ransac'}"
16,0.04887013375553698,0.07955528304386704,0.0592809715110129,0.05638284632745759,0.17590433117827092,0.10659346807630073,0.039823453627698485,"{'svr', 'decision_tree', 'sgd', 'poisson', 'xgb', 'elastic_net', 'ransac'}"
17,0.0465640009921159,0.06724515572470793,0.05435992773247948,0.052918543110771134,0.18144256023525573,0.08494693091165192,0.04126886797418064,"{'theil_sen', 'svr', 'decision_tree', 'gradient_boosting', 'ridge', 'sgd', 'poisson', 'random_forest', 'ransac'}"
18,0.04633999948921251,0.06409218957257627,0.052990806805588465,0.05163778116383867,0.19636000482889215,0.08712505854089704,0.05038810771996684,"{'svr', 'lasso', 'knn', 'gradient_boosting', 'ridge', 'xgb', 'elastic_net', 'ransac'}"
19,0.049281596766873256,0.06687158221121972,0.051038252161235476,0.05157606504051605,0.23273361945566848,0.08095830601313303,0.039440795277781604,"{'svr', 'lasso', 'ridge', 'sgd', 'xgb'}"
20,0.04799807005535384,0.06847224007705585,0.056778933780125364,0.052163778618963395,0.21451412529559777,0.08114290792665813,0.036248911959956796,"{'knn', 'decision_tree', 'ridge', 'sgd', 'poisson', 'random_forest', 'elastic_net'}"
21,0.04981159909784689,0.049303653470854594,0.053966488337760056,0.0504428814214664,0.13306203498854335,0.22678840693262653,0.0374072490271101,"{'theil_sen', 'ransac', 'sgd', 'ridge'}"
22,0.046310038738384934,0.054302079554166036,0.05086624878810442,0.048743759852220785,0.15028195314621579,0.07767019360014597,0.03646075872386377,"{'theil_sen', 'decision_tree', 'poisson', 'xgb', 'ransac'}"
23,0.04750272738944308,0.06039619254995271,0.054640073572557755,0.052367737335162104,0.15438643732653512,0.10794801313701052,0.03872024556133197,"{'theil_sen', 'svr', 'lasso', 'knn', 'sgd', 'poisson', 'random_forest', 'ransac'}"
24,0.047109393838406025,0.05870100413296749,0.05561940500784897,0.05092218265934747,0.17554349540898073,0.08426111083419818,0.042347363887224904,"{'gradient_boosting', 'ridge', 'elastic_net', 'random_forest'}"
